date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita,scores,anomaly
43950,Westchester County,New York,9154.0,28625,1119,3.127048285,0.12224164300000001,-0.002604504717883871,-1
43950,Suffolk County,Massachusetts,1490.0,12539,504,8.415436242,0.338255034,-0.093688187856525,-1
43951,Suffolk County,New York,1490.0,33664,1228,22.59328859,0.824161074,-0.10839745073289331,-1
43951,Westchester County,New York,9154.0,28969,1144,3.164627485,0.12497269,-0.003126463799635548,-1
43951,Suffolk County,Massachusetts,1490.0,12890,524,8.651006711,0.351677852,-0.093688187856525,-1
43952,Suffolk County,New York,1490.0,34037,1252,22.84362416,0.8402684559999999,-0.10839745073289331,-1
43952,Westchester County,New York,9154.0,29231,1165,3.193248853,0.127266769,-0.005217835217106281,-1
43952,Suffolk County,Massachusetts,1490.0,13295,550,8.922818792000001,0.369127517,-0.093688187856525,-1
43953,Suffolk County,New York,1490.0,34478,1277,23.13959732,0.85704698,-0.10839745073289331,-1
43953,Westchester County,New York,9154.0,29626,1183,3.236399388,0.129233122,-0.0041714420118385,-1
43953,Suffolk County,Massachusetts,1490.0,13606,569,9.131543623999999,0.381879195,-0.09485579466517857,-1
43954,Suffolk County,New York,1490.0,34855,1309,23.39261745,0.87852349,-0.10839745073289331,-1
43954,Westchester County,New York,9154.0,29884,1203,3.2645837889999996,0.131417959,-0.0041714420118385,-1
43954,Suffolk County,Massachusetts,1490.0,13777,588,9.246308725,0.394630872,-0.09485579466517857,-1
43955,Suffolk County,New York,1490.0,35077,1325,23.54161074,0.889261745,-0.10839745073289331,-1
43955,Westchester County,New York,9154.0,30097,1220,3.287852305,0.133275071,-0.005217835217106281,-1
43955,Suffolk County,Massachusetts,1490.0,13941,596,9.356375839,0.4,-0.09485579466517857,-1
43956,Suffolk County,New York,1490.0,35275,1347,23.67449664,0.9040268459999999,-0.10839745073289331,-1
43956,Westchester County,New York,9154.0,30239,1236,3.3033646489999997,0.135022941,-0.005217835217106281,-1
43956,Suffolk County,Massachusetts,1490.0,14173,609,9.512080537000001,0.40872483200000004,-0.09485579466517857,-1
43957,Suffolk County,New York,1490.0,35543,1574,23.85436242,1.056375839,-0.10839745073289331,-1
43957,Westchester County,New York,9154.0,30426,1285,3.323792877,0.140375792,-0.005217835217106281,-1
43957,Suffolk County,Massachusetts,1490.0,14476,642,9.715436242000001,0.430872483,-0.09485579466517857,-1
43958,Suffolk County,New York,1490.0,35892,1599,24.088590600000003,1.0731543620000001,-0.10839745073289331,-1
43958,Westchester County,New York,9154.0,30709,1305,3.3547083239999997,0.142560629,-0.005217835217106281,-1
43958,Suffolk County,Massachusetts,1490.0,14732,663,9.887248322,0.444966443,-0.09485579466517857,-1
43959,Suffolk County,New York,1490.0,36223,1616,24.31073826,1.084563758,-0.10899101209397954,-1
43959,Westchester County,New York,9154.0,30904,1316,3.376010487,0.14376229,-0.005217835217106281,-1
43959,Suffolk County,Massachusetts,1490.0,14944,683,10.0295302,0.458389262,-0.0960249825168793,-1
43960,Suffolk County,New York,1490.0,36461,1647,24.4704698,1.105369128,-0.10899101209397954,-1
43960,Westchester County,New York,9154.0,31086,1328,3.395892506,0.145073192,-0.00469446162064846,-1
43960,Suffolk County,Massachusetts,1490.0,15119,703,10.14697987,0.471812081,-0.0960249825168793,-1
43961,Suffolk County,New York,1490.0,36702,1667,24.63221477,1.118791946,-0.10899101209397954,-1
43961,Westchester County,New York,9154.0,31293,1341,3.4185055710000003,0.146493336,-0.00469446162064846,-1
43961,Cook County,Illinois,17212.0,52655,2317,3.0592028819999997,0.134615385,-0.003126463799635548,-1
43961,Suffolk County,Massachusetts,1490.0,15279,718,10.25436242,0.481879195,-0.0960249825168793,-1
43962,Suffolk County,New York,1490.0,36911,1689,24.77248322,1.133557047,-0.10899101209397954,-1
43962,Westchester County,New York,9154.0,31383,1349,3.4283373389999996,0.147367271,-0.00469446162064846,-1
43962,Cook County,Illinois,17212.0,53381,2361,3.101382756,0.13717174099999999,-0.002604504717883871,-1
43962,Suffolk County,Massachusetts,1490.0,15356,731,10.30604027,0.49060402700000005,-0.0960249825168793,-1
43963,Suffolk County,New York,1490.0,37062,1704,24.8738255,1.143624161,-0.10899101209397954,-1
43963,Westchester County,New York,9154.0,31471,1360,3.4379506230000003,0.148568932,-0.00469446162064846,-1
43963,Cook County,Illinois,17212.0,55470,2449,3.2227515689999997,0.142284453,-0.0041714420118385,-1
43963,Suffolk County,Massachusetts,1490.0,15454,732,10.37181208,0.491275168,-0.0960249825168793,-1
43964,Suffolk County,New York,1490.0,37305,1729,25.03691275,1.160402685,-0.10899101209397954,-1
