date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita,scores,anomaly
43903,King County,Washington,28669.0,329,33,0.01147581,0.001151069,-0.022701582007388477,-1
43903,Santa Clara County,California,6131.0,79,2,0.012885337,0.00032621099999999997,-0.01615866485995221,-1
43903,Suffolk County,Massachusetts,1490.0,26,0,0.017449664,0.0,-3.190569949818034e-05,-1
43904,Westchester County,New York,9154.0,178,0,0.019445051,0.0,-0.008175892753592984,-1
43904,Suffolk County,New York,1490.0,41,0,0.027516778999999998,0.0,-0.06896766096348494,-1
43904,King County,Washington,28669.0,389,36,0.013568663,0.001255712,-0.001628547260043911,-1
43905,Westchester County,New York,9154.0,195,0,0.021302163,0.0,-0.021459382950215655,-1
43905,Suffolk County,New York,1490.0,47,0,0.031543624,0.0,-0.06658214260439044,-1
43905,King County,Washington,28669.0,421,38,0.014684851,0.0013254739999999999,-0.010962136136768441,-1
43905,Santa Clara County,California,6131.0,114,2,0.01859403,0.00032621099999999997,-0.02424431806450944,-1
43905,Suffolk County,Massachusetts,1490.0,31,0,0.020805369,0.0,-0.019792938473974453,-1
43906,Westchester County,New York,9154.0,219,0,0.023923967999999997,0.0,-0.034978150233799354,-1
43906,Suffolk County,New York,1490.0,63,2,0.042281879,0.0013422820000000002,-0.09552774131617459,-1
43906,King County,Washington,28669.0,489,44,0.017056751000000002,0.001534759,-0.02667403335437235,-1
43906,Santa Clara County,California,6131.0,138,4,0.022508563,0.0006524219999999999,-0.03220074192579003,-1
43906,Suffolk County,Massachusetts,1490.0,42,0,0.028187919,0.0,-0.05525527754997106,-1
43907,Westchester County,New York,9154.0,379,0,0.041402666,0.0,-0.11174656323451915,-1
43907,Suffolk County,New York,1490.0,84,3,0.056375839000000004,0.002013423,-0.12886719854999196,-1
43907,King County,Washington,28669.0,518,47,0.018068297,0.001639401,-0.04706716315758297,-1
43907,Summit County,Utah,1490.0,15,0,0.010067114,0.0,-0.0008630233679592925,-1
43907,Santa Clara County,California,6131.0,155,5,0.025281357,0.000815528,-0.07177891680622728,-1
43907,Suffolk County,Massachusetts,1490.0,42,0,0.028187919,0.0,-0.08244079399544924,-1
43908,Westchester County,New York,9154.0,537,0,0.05866288,0.0,-0.09144035501408088,-1
43908,Suffolk County,New York,1490.0,116,3,0.077852349,0.002013423,-0.11395818716581574,-1
43908,Summit County,Utah,1490.0,22,0,0.014765101000000001,0.0,-0.008526453482817109,-1
43908,King County,Washington,28669.0,563,57,0.019637936,0.00198821,-0.032147515956986505,-1
43908,Santa Clara County,California,6131.0,175,6,0.028543468,0.000978633,-0.05256227254603896,-1
43908,Suffolk County,Massachusetts,1490.0,51,0,0.034228188,0.0,-0.07006441756809734,-1
43908,Orleans County,Louisiana,14899.0,196,6,0.013155245,0.00040271199999999995,-0.00010983411785003838,-1
43909,Suffolk County,New York,1490.0,178,3,0.119463087,0.002013423,-0.13949901875892456,-1
43909,Westchester County,New York,9154.0,797,0,0.087065764,0.0,-0.12988237087535215,-1
43909,Summit County,Utah,1490.0,26,0,0.017449664,0.0,-0.005116453909908225,-1
43909,King County,Washington,28669.0,693,61,0.024172451,0.002127734,-0.04353398975430156,-1
43909,Santa Clara County,California,6131.0,189,6,0.030826945,0.000978633,-0.06540342549508793,-1
43909,Suffolk County,Massachusetts,1490.0,72,0,0.048322147999999995,0.0,-0.09473305719335401,-1
43910,Westchester County,New York,9154.0,1091,0,0.119182871,0.0,-0.0988146628086023,-1
43910,Suffolk County,New York,1490.0,371,7,0.24899328899999998,0.004697987,-0.11451602829172614,-1
43910,New York City County,New York,189885.0,4419,54,0.02327198,0.000284383,-0.013971307874799499,-1
43910,King County,Washington,28669.0,794,68,0.02769542,0.0023719,-0.03702769532497374,-1
43910,Summit County,Utah,1490.0,35,0,0.023489932999999998,0.0,-0.014512689728022554,-1
43910,Santa Clara County,California,6131.0,196,8,0.031968684,0.0013048439999999999,-0.04598486406325042,-1
43910,Suffolk County,Massachusetts,1490.0,87,1,0.058389262000000004,0.0006711410000000001,-0.0757744781143781,-1
43910,Orleans County,Louisiana,14899.0,329,8,0.022082018999999998,0.000536949,-0.007046159639791605,-1
43910,Cook County,Illinois,17212.0,412,3,0.023936787999999997,0.00017429700000000002,-0.017768684258478884,-1
43911,Suffolk County,New York,1490.0,662,9,0.444295302,0.0060402680000000005,-0.12894136953920843,-1
43911,Westchester County,New York,9154.0,1387,0,0.151518462,0.0,-0.10664967376028467,-1
43911,New York City County,New York,189885.0,6226,75,0.032788267,0.000394976,-0.04082241604077286,-1
43911,Summit County,Utah,1490.0,35,0,0.023489932999999998,0.0,-0.013761189283918007,-1
43911,King County,Washington,28669.0,935,76,0.032613624,0.0026509470000000003,-0.040272171427952475,-1
43911,Milwaukee County,Wisconsin,6125.0,126,2,0.020571429,0.00032653099999999997,-4.7008118818636646e-05,-1
43911,Cook County,Illinois,17212.0,548,4,0.031838252000000004,0.00023239599999999998,-0.0380749120809849,-1
43911,Los Angeles County,California,14464.0,351,4,0.024267146,0.000276549,-0.015359175064569741,-1
43911,Santa Clara County,California,6131.0,263,8,0.042896754,0.0013048439999999999,-0.05806597270824354,-1
43911,Suffolk County,Massachusetts,1490.0,108,1,0.072483221,0.0006711410000000001,-0.08143459628193817,-1
43911,Orleans County,Louisiana,14899.0,418,13,0.028055574,0.000872542,-0.034243988089918576,-1
43912,Westchester County,New York,9154.0,1873,0,0.20461000699999998,0.0,-0.09759256189803844,-1
