REGION,WEEK,ILITOTAL
Texas,2/17/2018,3598
Utah,2/17/2018,1379
Vermont,2/17/2018,138
Virginia,2/17/2018,11195
Washington,2/17/2018,181
West Virginia,2/17/2018,734
Wisconsin,2/17/2018,295
Wyoming,2/17/2018,303
Alabama,2/24/2018,2172
Alaska,2/24/2018,344
Arizona,2/24/2018,885
Arkansas,2/24/2018,332
California,2/24/2018,1619
Colorado,2/24/2018,672
Connecticut,2/24/2018,297
Delaware,2/24/2018,80
Georgia,2/24/2018,3190
Hawaii,2/24/2018,43
Idaho,2/24/2018,37
Illinois,2/24/2018,1879
Indiana,2/24/2018,158
Iowa,2/24/2018,91
Kansas,2/24/2018,628
Kentucky,2/24/2018,819
Louisiana,2/24/2018,2335
Maine,2/24/2018,69
Maryland,2/24/2018,369
Massachusetts,2/24/2018,1532
Michigan,2/24/2018,880
Minnesota,2/24/2018,352
Mississippi,2/24/2018,1093
Missouri,2/24/2018,369
Montana,2/24/2018,19
Nebraska,2/24/2018,633
Nevada,2/24/2018,397
New Hampshire,2/24/2018,114
New Jersey,2/24/2018,2231
New Mexico,2/24/2018,987
New York,2/24/2018,875
North Carolina,2/24/2018,832
North Dakota,2/24/2018,50
Ohio,2/24/2018,652
Oklahoma,2/24/2018,445
Oregon,2/24/2018,1101
Pennsylvania,2/24/2018,3145
Rhode Island,2/24/2018,261
South Carolina,2/24/2018,435
South Dakota,2/24/2018,426
Tennessee,2/24/2018,253
Texas,2/24/2018,2638
Utah,2/24/2018,1082
Vermont,2/24/2018,113
Virginia,2/24/2018,7516
Washington,2/24/2018,176
West Virginia,2/24/2018,292
Wisconsin,2/24/2018,271
Wyoming,2/24/2018,249
Alabama,3/3/2018,1212
Alaska,3/3/2018,399
Arizona,3/3/2018,778
Arkansas,3/3/2018,193
California,3/3/2018,1870
Colorado,3/3/2018,554
Connecticut,3/3/2018,238
Delaware,3/3/2018,55
Georgia,3/3/2018,1961
Hawaii,3/3/2018,52
Idaho,3/3/2018,25
Illinois,3/3/2018,1279
Indiana,3/3/2018,180
Iowa,3/3/2018,54
Kansas,3/3/2018,477
Kentucky,3/3/2018,527
Louisiana,3/3/2018,1800
Maine,3/3/2018,48
Maryland,3/3/2018,259
Massachusetts,3/3/2018,1040
Michigan,3/3/2018,781
Minnesota,3/3/2018,295
Mississippi,3/3/2018,679
Missouri,3/3/2018,239
Montana,3/3/2018,35
Nebraska,3/3/2018,497
Nevada,3/3/2018,316
New Hampshire,3/3/2018,110
