REGION,WEEK,ILITOTAL
Montana,6/9/2018,0
Nebraska,6/9/2018,89
Nevada,6/9/2018,94
New Hampshire,6/9/2018,7
New Jersey,6/9/2018,459
New Mexico,6/9/2018,205
New York,6/9/2018,2
North Carolina,6/9/2018,46
North Dakota,6/9/2018,3
Ohio,6/9/2018,56
Oklahoma,6/9/2018,10
Oregon,6/9/2018,286
Pennsylvania,6/9/2018,379
Rhode Island,6/9/2018,1
South Carolina,6/9/2018,14
South Dakota,6/9/2018,28
Tennessee,6/9/2018,11
Texas,6/9/2018,316
Utah,6/9/2018,301
Vermont,6/9/2018,23
Virginia,6/9/2018,790
Washington,6/9/2018,1
West Virginia,6/9/2018,11
Wisconsin,6/9/2018,74
Wyoming,6/9/2018,17
Alabama,6/16/2018,281
Alaska,6/16/2018,36
Arizona,6/16/2018,140
Arkansas,6/16/2018,20
California,6/16/2018,548
Colorado,6/16/2018,57
Connecticut,6/16/2018,10
Delaware,6/16/2018,1
Georgia,6/16/2018,528
Hawaii,6/16/2018,10
Idaho,6/16/2018,1
Illinois,6/16/2018,209
Indiana,6/16/2018,9
Iowa,6/16/2018,0
Kansas,6/16/2018,12
Kentucky,6/16/2018,17
Louisiana,6/16/2018,667
Maine,6/16/2018,4
Maryland,6/16/2018,43
Massachusetts,6/16/2018,185
Michigan,6/16/2018,130
Minnesota,6/16/2018,5
Mississippi,6/16/2018,208
Missouri,6/16/2018,2
Montana,6/16/2018,0
Nebraska,6/16/2018,73
Nevada,6/16/2018,85
New Hampshire,6/16/2018,11
New Jersey,6/16/2018,431
New Mexico,6/16/2018,137
New York,6/16/2018,3
North Carolina,6/16/2018,28
North Dakota,6/16/2018,4
Ohio,6/16/2018,74
Oklahoma,6/16/2018,9
Oregon,6/16/2018,266
Pennsylvania,6/16/2018,318
Rhode Island,6/16/2018,5
South Carolina,6/16/2018,11
South Dakota,6/16/2018,37
Tennessee,6/16/2018,11
Texas,6/16/2018,320
Utah,6/16/2018,27
Vermont,6/16/2018,18
Virginia,6/16/2018,808
Washington,6/16/2018,13
West Virginia,6/16/2018,13
Wisconsin,6/16/2018,4
Wyoming,6/16/2018,16
Alabama,6/23/2018,184
Alaska,6/23/2018,58
Arizona,6/23/2018,288
Arkansas,6/23/2018,10
California,6/23/2018,526
Colorado,6/23/2018,46
Connecticut,6/23/2018,13
Delaware,6/23/2018,1
Georgia,6/23/2018,516
Hawaii,6/23/2018,16
Idaho,6/23/2018,1
Illinois,6/23/2018,269
Indiana,6/23/2018,13
Iowa,6/23/2018,0
Kansas,6/23/2018,2
Kentucky,6/23/2018,15
Louisiana,6/23/2018,672
Maine,6/23/2018,4
Maryland,6/23/2018,32
Massachusetts,6/23/2018,178
Michigan,6/23/2018,73
Minnesota,6/23/2018,37
Mississippi,6/23/2018,191
Missouri,6/23/2018,5
Montana,6/23/2018,0
Nebraska,6/23/2018,18
Nevada,6/23/2018,69
New Hampshire,6/23/2018,14
New Jersey,6/23/2018,411
New Mexico,6/23/2018,135
New York,6/23/2018,0
North Carolina,6/23/2018,28
North Dakota,6/23/2018,3
Ohio,6/23/2018,48
Oklahoma,6/23/2018,0
Oregon,6/23/2018,240
Pennsylvania,6/23/2018,280
Rhode Island,6/23/2018,8
South Carolina,6/23/2018,18
South Dakota,6/23/2018,30
Tennessee,6/23/2018,21
Texas,6/23/2018,250
Utah,6/23/2018,124
Vermont,6/23/2018,15
Virginia,6/23/2018,790
Washington,6/23/2018,14
West Virginia,6/23/2018,12
Wisconsin,6/23/2018,3
Wyoming,6/23/2018,22
Alabama,6/30/2018,222
Alaska,6/30/2018,84
Arizona,6/30/2018,266
Arkansas,6/30/2018,11
California,6/30/2018,493
Colorado,6/30/2018,65
Connecticut,6/30/2018,13
Delaware,6/30/2018,8
Georgia,6/30/2018,457
Hawaii,6/30/2018,10
Idaho,6/30/2018,1
Illinois,6/30/2018,239
Indiana,6/30/2018,16
Iowa,6/30/2018,0
Kansas,6/30/2018,15
Kentucky,6/30/2018,3
Louisiana,6/30/2018,669
Maine,6/30/2018,0
Maryland,6/30/2018,31
Massachusetts,6/30/2018,192
Michigan,6/30/2018,68
Minnesota,6/30/2018,53
Mississippi,6/30/2018,168
Missouri,6/30/2018,6
Montana,6/30/2018,0
Nebraska,6/30/2018,22
Nevada,6/30/2018,31
New Hampshire,6/30/2018,7
New Jersey,6/30/2018,339
New Mexico,6/30/2018,116
New York,6/30/2018,1
North Carolina,6/30/2018,19
North Dakota,6/30/2018,3
Ohio,6/30/2018,59
Oklahoma,6/30/2018,6
Oregon,6/30/2018,198
Pennsylvania,6/30/2018,261
Rhode Island,6/30/2018,1
South Carolina,6/30/2018,20
South Dakota,6/30/2018,39
Tennessee,6/30/2018,12
Texas,6/30/2018,288
Utah,6/30/2018,115
Vermont,6/30/2018,18
Virginia,6/30/2018,767
Washington,6/30/2018,19
West Virginia,6/30/2018,6
Wisconsin,6/30/2018,1
Wyoming,6/30/2018,21
Alabama,7/7/2018,247
Alaska,7/7/2018,81
Arizona,7/7/2018,189
Arkansas,7/7/2018,10
California,7/7/2018,380
Colorado,7/7/2018,37
Connecticut,7/7/2018,1
Delaware,7/7/2018,0
Georgia,7/7/2018,426
Hawaii,7/7/2018,16
Idaho,7/7/2018,1
Illinois,7/7/2018,241
Indiana,7/7/2018,14
Iowa,7/7/2018,0
Kansas,7/7/2018,4
Kentucky,7/7/2018,11
Louisiana,7/7/2018,623
Maine,7/7/2018,3
Maryland,7/7/2018,39
Massachusetts,7/7/2018,159
Michigan,7/7/2018,54
Minnesota,7/7/2018,18
Mississippi,7/7/2018,193
Missouri,7/7/2018,0
Montana,7/7/2018,0
Nebraska,7/7/2018,95
Nevada,7/7/2018,45
New Hampshire,7/7/2018,3
New Jersey,7/7/2018,363
New Mexico,7/7/2018,139
New York,7/7/2018,10
North Carolina,7/7/2018,19
North Dakota,7/7/2018,4
Ohio,7/7/2018,41
Oklahoma,7/7/2018,8
Oregon,7/7/2018,201
Pennsylvania,7/7/2018,236
Rhode Island,7/7/2018,4
South Carolina,7/7/2018,13
South Dakota,7/7/2018,33
Tennessee,7/7/2018,23
Texas,7/7/2018,211
Utah,7/7/2018,8
Vermont,7/7/2018,18
Virginia,7/7/2018,723
Washington,7/7/2018,12
West Virginia,7/7/2018,15
Wisconsin,7/7/2018,3
Wyoming,7/7/2018,20
Alabama,7/14/2018,226
Alaska,7/14/2018,79
Arizona,7/14/2018,238
Arkansas,7/14/2018,13
California,7/14/2018,398
Colorado,7/14/2018,53
Connecticut,7/14/2018,7
Delaware,7/14/2018,0
Georgia,7/14/2018,446
Hawaii,7/14/2018,9
Idaho,7/14/2018,0
Illinois,7/14/2018,264
Indiana,7/14/2018,20
Iowa,7/14/2018,2
Kansas,7/14/2018,0
Kentucky,7/14/2018,14
Louisiana,7/14/2018,602
Maine,7/14/2018,1
Maryland,7/14/2018,53
Massachusetts,7/14/2018,241
Michigan,7/14/2018,48
Minnesota,7/14/2018,28
Mississippi,7/14/2018,190
Missouri,7/14/2018,0
Montana,7/14/2018,0
Nebraska,7/14/2018,59
Nevada,7/14/2018,47
New Hampshire,7/14/2018,6
New Jersey,7/14/2018,332
New Mexico,7/14/2018,135
New York,7/14/2018,0
North Carolina,7/14/2018,33
North Dakota,7/14/2018,2
Ohio,7/14/2018,50
Oklahoma,7/14/2018,19
Oregon,7/14/2018,163
Pennsylvania,7/14/2018,251
Rhode Island,7/14/2018,1
South Carolina,7/14/2018,14
South Dakota,7/14/2018,21
Tennessee,7/14/2018,4
Texas,7/14/2018,256
Utah,7/14/2018,121
Vermont,7/14/2018,13
Virginia,7/14/2018,619
Washington,7/14/2018,8
West Virginia,7/14/2018,18
Wisconsin,7/14/2018,6
Wyoming,7/14/2018,29
Alabama,7/21/2018,226
Alaska,7/21/2018,63
Arizona,7/21/2018,142
Arkansas,7/21/2018,12
California,7/21/2018,379
Colorado,7/21/2018,48
Connecticut,7/21/2018,14
Delaware,7/21/2018,7
Georgia,7/21/2018,392
Hawaii,7/21/2018,11
Idaho,7/21/2018,0
Illinois,7/21/2018,221
Indiana,7/21/2018,24
Iowa,7/21/2018,1
Kansas,7/21/2018,2
Kentucky,7/21/2018,20
Louisiana,7/21/2018,569
Maine,7/21/2018,0
Maryland,7/21/2018,15
Massachusetts,7/21/2018,193
Michigan,7/21/2018,39
Minnesota,7/21/2018,42
Mississippi,7/21/2018,156
Missouri,7/21/2018,2
Montana,7/21/2018,0
Nebraska,7/21/2018,73
Nevada,7/21/2018,39
New Hampshire,7/21/2018,1
New Jersey,7/21/2018,312
New Mexico,7/21/2018,105
New York,7/21/2018,0
North Carolina,7/21/2018,4
North Dakota,7/21/2018,1
Ohio,7/21/2018,49
Oklahoma,7/21/2018,10
Oregon,7/21/2018,146
Pennsylvania,7/21/2018,157
Rhode Island,7/21/2018,0
South Carolina,7/21/2018,8
South Dakota,7/21/2018,27
Tennessee,7/21/2018,23
Texas,7/21/2018,203
Utah,7/21/2018,111
Vermont,7/21/2018,15
Virginia,7/21/2018,602
Washington,7/21/2018,9
West Virginia,7/21/2018,8
Wisconsin,7/21/2018,10
Wyoming,7/21/2018,12
Alabama,7/28/2018,211
Alaska,7/28/2018,60
Arizona,7/28/2018,260
Arkansas,7/28/2018,8
California,7/28/2018,382
Colorado,7/28/2018,35
Connecticut,7/28/2018,2
Delaware,7/28/2018,3
Georgia,7/28/2018,441
Hawaii,7/28/2018,9
Idaho,7/28/2018,1
Illinois,7/28/2018,164
Indiana,7/28/2018,18
Iowa,7/28/2018,1
Kansas,7/28/2018,1
Kentucky,7/28/2018,14
Louisiana,7/28/2018,638
Maine,7/28/2018,3
Maryland,7/28/2018,22
Massachusetts,7/28/2018,198
Michigan,7/28/2018,65
Minnesota,7/28/2018,33
Mississippi,7/28/2018,198
Missouri,7/28/2018,1
Montana,7/28/2018,0
Nebraska,7/28/2018,37
Nevada,7/28/2018,51
New Hampshire,7/28/2018,8
New Jersey,7/28/2018,288
New Mexico,7/28/2018,35
New York,7/28/2018,1
North Carolina,7/28/2018,11
North Dakota,7/28/2018,1
Ohio,7/28/2018,30
Oklahoma,7/28/2018,7
Oregon,7/28/2018,117
Pennsylvania,7/28/2018,168
Rhode Island,7/28/2018,1
South Carolina,7/28/2018,12
South Dakota,7/28/2018,40
Tennessee,7/28/2018,19
Texas,7/28/2018,197
Utah,7/28/2018,31
Vermont,7/28/2018,8
Virginia,7/28/2018,540
Washington,7/28/2018,11
West Virginia,7/28/2018,6
Wisconsin,7/28/2018,5
Wyoming,7/28/2018,9
Alabama,8/4/2018,227
Alaska,8/4/2018,63
Arizona,8/4/2018,166
Arkansas,8/4/2018,8
California,8/4/2018,374
Colorado,8/4/2018,40
Connecticut,8/4/2018,0
Delaware,8/4/2018,0
Georgia,8/4/2018,390
Hawaii,8/4/2018,4
Idaho,8/4/2018,0
Illinois,8/4/2018,177
Indiana,8/4/2018,16
Iowa,8/4/2018,1
Kansas,8/4/2018,1
Kentucky,8/4/2018,2
Louisiana,8/4/2018,658
Maine,8/4/2018,3
Maryland,8/4/2018,21
Massachusetts,8/4/2018,165
Michigan,8/4/2018,75
Minnesota,8/4/2018,39
Mississippi,8/4/2018,165
Missouri,8/4/2018,2
Montana,8/4/2018,0
Nebraska,8/4/2018,35
Nevada,8/4/2018,39
New Hampshire,8/4/2018,15
New Jersey,8/4/2018,279
New Mexico,8/4/2018,139
New York,8/4/2018,1
North Carolina,8/4/2018,8
North Dakota,8/4/2018,1
Ohio,8/4/2018,52
Oklahoma,8/4/2018,9
Oregon,8/4/2018,100
Pennsylvania,8/4/2018,205
Rhode Island,8/4/2018,2
South Carolina,8/4/2018,11
South Dakota,8/4/2018,18
Tennessee,8/4/2018,10
Texas,8/4/2018,209
Utah,8/4/2018,109
Vermont,8/4/2018,15
Virginia,8/4/2018,529
Washington,8/4/2018,5
West Virginia,8/4/2018,11
Wisconsin,8/4/2018,3
Wyoming,8/4/2018,18
Alabama,8/11/2018,226
Alaska,8/11/2018,64
Arizona,8/11/2018,257
Arkansas,8/11/2018,14
California,8/11/2018,387
Colorado,8/11/2018,40
Connecticut,8/11/2018,10
Delaware,8/11/2018,0
Georgia,8/11/2018,465
Hawaii,8/11/2018,10
Idaho,8/11/2018,0
Illinois,8/11/2018,157
Indiana,8/11/2018,31
Iowa,8/11/2018,4
Kansas,8/11/2018,1
Kentucky,8/11/2018,14
Louisiana,8/11/2018,617
Maine,8/11/2018,2
Maryland,8/11/2018,20
Massachusetts,8/11/2018,191
Michigan,8/11/2018,43
Minnesota,8/11/2018,2
Mississippi,8/11/2018,134
Missouri,8/11/2018,3
Montana,8/11/2018,0
Nebraska,8/11/2018,85
Nevada,8/11/2018,33
New Hampshire,8/11/2018,10
New Jersey,8/11/2018,304
New Mexico,8/11/2018,143
New York,8/11/2018,0
North Carolina,8/11/2018,2
North Dakota,8/11/2018,0
Ohio,8/11/2018,50
Oklahoma,8/11/2018,28
Oregon,8/11/2018,127
Pennsylvania,8/11/2018,175
Rhode Island,8/11/2018,3
South Carolina,8/11/2018,10
South Dakota,8/11/2018,31
Tennessee,8/11/2018,18
Texas,8/11/2018,156
Utah,8/11/2018,176
Vermont,8/11/2018,17
Virginia,8/11/2018,523
Washington,8/11/2018,8
West Virginia,8/11/2018,5
Wisconsin,8/11/2018,5
Wyoming,8/11/2018,14
Alabama,8/18/2018,326
Alaska,8/18/2018,75
Arizona,8/18/2018,222
Arkansas,8/18/2018,8
California,8/18/2018,391
Colorado,8/18/2018,48
Connecticut,8/18/2018,2
Delaware,8/18/2018,0
Georgia,8/18/2018,711
Hawaii,8/18/2018,7
Idaho,8/18/2018,0
Illinois,8/18/2018,172
Indiana,8/18/2018,29
Iowa,8/18/2018,9
Kansas,8/18/2018,0
Kentucky,8/18/2018,22
Louisiana,8/18/2018,712
Maine,8/18/2018,3
Maryland,8/18/2018,19
Massachusetts,8/18/2018,205
Michigan,8/18/2018,60
Minnesota,8/18/2018,5
Mississippi,8/18/2018,248
Missouri,8/18/2018,3
Montana,8/18/2018,0
Nebraska,8/18/2018,54
Nevada,8/18/2018,36
New Hampshire,8/18/2018,12
New Jersey,8/18/2018,318
New Mexico,8/18/2018,175
New York,8/18/2018,0
North Carolina,8/18/2018,12
North Dakota,8/18/2018,0
Ohio,8/18/2018,54
Oklahoma,8/18/2018,34
Oregon,8/18/2018,141
Pennsylvania,8/18/2018,194
Rhode Island,8/18/2018,2
South Carolina,8/18/2018,16
South Dakota,8/18/2018,32
Tennessee,8/18/2018,7
Texas,8/18/2018,184
Utah,8/18/2018,173
Vermont,8/18/2018,11
Virginia,8/18/2018,517
Washington,8/18/2018,5
West Virginia,8/18/2018,7
Wisconsin,8/18/2018,7
Wyoming,8/18/2018,14
Alabama,8/25/2018,512
Alaska,8/25/2018,73
Arizona,8/25/2018,375
Arkansas,8/25/2018,15
California,8/25/2018,335
Colorado,8/25/2018,75
Connecticut,8/25/2018,13
Delaware,8/25/2018,0
Georgia,8/25/2018,810
Hawaii,8/25/2018,8
Idaho,8/25/2018,0
Illinois,8/25/2018,188
Indiana,8/25/2018,43
Iowa,8/25/2018,8
Kansas,8/25/2018,2
Kentucky,8/25/2018,36
Louisiana,8/25/2018,908
Maine,8/25/2018,2
Maryland,8/25/2018,38
Massachusetts,8/25/2018,203
Michigan,8/25/2018,46
Minnesota,8/25/2018,2
Mississippi,8/25/2018,243
Missouri,8/25/2018,1
Montana,8/25/2018,0
Nebraska,8/25/2018,160
Nevada,8/25/2018,46
New Hampshire,8/25/2018,13
New Jersey,8/25/2018,380
New Mexico,8/25/2018,46
New York,8/25/2018,0
North Carolina,8/25/2018,10
North Dakota,8/25/2018,1
Ohio,8/25/2018,73
Oklahoma,8/25/2018,45
Oregon,8/25/2018,133
Pennsylvania,8/25/2018,198
Rhode Island,8/25/2018,1
South Carolina,8/25/2018,9
South Dakota,8/25/2018,42
Tennessee,8/25/2018,18
Texas,8/25/2018,270
Utah,8/25/2018,0
Vermont,8/25/2018,11
Virginia,8/25/2018,624
Washington,8/25/2018,8
West Virginia,8/25/2018,5
Wisconsin,8/25/2018,9
Wyoming,8/25/2018,16
Alabama,9/1/2018,497
Alaska,9/1/2018,114
Arizona,9/1/2018,295
Arkansas,9/1/2018,25
California,9/1/2018,435
Colorado,9/1/2018,77
Connecticut,9/1/2018,11
Delaware,9/1/2018,0
Georgia,9/1/2018,852
Hawaii,9/1/2018,24
Idaho,9/1/2018,0
Illinois,9/1/2018,269
Indiana,9/1/2018,48
Iowa,9/1/2018,7
Kansas,9/1/2018,0
Kentucky,9/1/2018,32
Louisiana,9/1/2018,976
Maine,9/1/2018,0
Maryland,9/1/2018,30
Massachusetts,9/1/2018,191
Michigan,9/1/2018,43
Minnesota,9/1/2018,8
Mississippi,9/1/2018,269
Missouri,9/1/2018,10
Montana,9/1/2018,0
Nebraska,9/1/2018,162
Nevada,9/1/2018,54
New Hampshire,9/1/2018,3
New Jersey,9/1/2018,356
New Mexico,9/1/2018,199
New York,9/1/2018,0
North Carolina,9/1/2018,25
North Dakota,9/1/2018,1
Ohio,9/1/2018,85
Oklahoma,9/1/2018,59
Oregon,9/1/2018,160
Pennsylvania,9/1/2018,238
Rhode Island,9/1/2018,1
South Carolina,9/1/2018,16
South Dakota,9/1/2018,45
Tennessee,9/1/2018,31
Texas,9/1/2018,244
Utah,9/1/2018,173
Vermont,9/1/2018,14
Virginia,9/1/2018,670
Washington,9/1/2018,7
West Virginia,9/1/2018,12
Wisconsin,9/1/2018,9
Wyoming,9/1/2018,11
Alabama,9/8/2018,565
Alaska,9/8/2018,121
Arizona,9/8/2018,316
Arkansas,9/8/2018,21
California,9/8/2018,515
Colorado,9/8/2018,99
Connecticut,9/8/2018,13
Delaware,9/8/2018,0
Georgia,9/8/2018,896
Hawaii,9/8/2018,17
Idaho,9/8/2018,0
Illinois,9/8/2018,263
Indiana,9/8/2018,27
Iowa,9/8/2018,7
Kansas,9/8/2018,5
Kentucky,9/8/2018,64
Louisiana,9/8/2018,1084
Maine,9/8/2018,2
Maryland,9/8/2018,23
Massachusetts,9/8/2018,238
Michigan,9/8/2018,89
Minnesota,9/8/2018,48
Mississippi,9/8/2018,327
Missouri,9/8/2018,21
Montana,9/8/2018,0
Nebraska,9/8/2018,172
Nevada,9/8/2018,62
New Hampshire,9/8/2018,10
New Jersey,9/8/2018,485
New Mexico,9/8/2018,202
New York,9/8/2018,2
North Carolina,9/8/2018,30
North Dakota,9/8/2018,1
Ohio,9/8/2018,67
Oklahoma,9/8/2018,55
Oregon,9/8/2018,201
Pennsylvania,9/8/2018,307
Rhode Island,9/8/2018,5
South Carolina,9/8/2018,61
South Dakota,9/8/2018,55
Tennessee,9/8/2018,29
Texas,9/8/2018,382
Utah,9/8/2018,343
Vermont,9/8/2018,9
Virginia,9/8/2018,812
Washington,9/8/2018,12
West Virginia,9/8/2018,10
Wisconsin,9/8/2018,19
Wyoming,9/8/2018,17
Alabama,9/15/2018,565
Alaska,9/15/2018,100
Arizona,9/15/2018,355
Arkansas,9/15/2018,23
California,9/15/2018,645
Colorado,9/15/2018,83
Connecticut,9/15/2018,48
Delaware,9/15/2018,2
Georgia,9/15/2018,888
Hawaii,9/15/2018,28
Idaho,9/15/2018,0
Illinois,9/15/2018,292
Indiana,9/15/2018,52
Iowa,9/15/2018,10
Kansas,9/15/2018,10
Kentucky,9/15/2018,37
Louisiana,9/15/2018,928
Maine,9/15/2018,0
Maryland,9/15/2018,24
Massachusetts,9/15/2018,288
Michigan,9/15/2018,144
Minnesota,9/15/2018,72
Mississippi,9/15/2018,263
Missouri,9/15/2018,14
Montana,9/15/2018,0
Nebraska,9/15/2018,125
Nevada,9/15/2018,57
New Hampshire,9/15/2018,8
New Jersey,9/15/2018,594
New Mexico,9/15/2018,191
New York,9/15/2018,8
North Carolina,9/15/2018,36
North Dakota,9/15/2018,0
Ohio,9/15/2018,54
Oklahoma,9/15/2018,46
Oregon,9/15/2018,165
Pennsylvania,9/15/2018,395
Rhode Island,9/15/2018,6
South Carolina,9/15/2018,69
South Dakota,9/15/2018,64
Tennessee,9/15/2018,22
Texas,9/15/2018,449
Utah,9/15/2018,251
Vermont,9/15/2018,14
Virginia,9/15/2018,984
Washington,9/15/2018,17
West Virginia,9/15/2018,24
Wisconsin,9/15/2018,26
Wyoming,9/15/2018,15
Alabama,9/22/2018,605
Alaska,9/22/2018,85
Arizona,9/22/2018,286
Arkansas,9/22/2018,26
California,9/22/2018,555
Colorado,9/22/2018,80
Connecticut,9/22/2018,73
Delaware,9/22/2018,1
Georgia,9/22/2018,844
Hawaii,9/22/2018,19
Idaho,9/22/2018,3
Illinois,9/22/2018,334
Indiana,9/22/2018,41
Iowa,9/22/2018,12
Kansas,9/22/2018,6
Kentucky,9/22/2018,8
Louisiana,9/22/2018,1031
Maine,9/22/2018,4
Maryland,9/22/2018,34
Massachusetts,9/22/2018,321
Michigan,9/22/2018,196
Minnesota,9/22/2018,77
Mississippi,9/22/2018,284
Missouri,9/22/2018,18
Montana,9/22/2018,0
Nebraska,9/22/2018,89
Nevada,9/22/2018,74
New Hampshire,9/22/2018,14
New Jersey,9/22/2018,806
New Mexico,9/22/2018,184
New York,9/22/2018,11
North Carolina,9/22/2018,45
North Dakota,9/22/2018,2
Ohio,9/22/2018,80
Oklahoma,9/22/2018,0
Oregon,9/22/2018,204
Pennsylvania,9/22/2018,505
Rhode Island,9/22/2018,10
South Carolina,9/22/2018,44
South Dakota,9/22/2018,52
Tennessee,9/22/2018,21
Texas,9/22/2018,465
Utah,9/22/2018,339
Vermont,9/22/2018,11
Virginia,9/22/2018,1015
Washington,9/22/2018,20
West Virginia,9/22/2018,38
Wisconsin,9/22/2018,46
Wyoming,9/22/2018,16
Alabama,9/29/2018,544
Alaska,9/29/2018,126
Arizona,9/29/2018,224
Arkansas,9/29/2018,45
California,9/29/2018,546
Colorado,9/29/2018,64
Connecticut,9/29/2018,38
Delaware,9/29/2018,3
Georgia,9/29/2018,856
Hawaii,9/29/2018,29
Idaho,9/29/2018,1
Illinois,9/29/2018,272
Indiana,9/29/2018,34
Iowa,9/29/2018,11
Kansas,9/29/2018,6
Kentucky,9/29/2018,40
Louisiana,9/29/2018,1041
Maine,9/29/2018,2
Maryland,9/29/2018,42
Massachusetts,9/29/2018,318
Michigan,9/29/2018,163
Minnesota,9/29/2018,71
Mississippi,9/29/2018,355
Missouri,9/29/2018,11
Montana,9/29/2018,0
Nebraska,9/29/2018,97
Nevada,9/29/2018,60
New Hampshire,9/29/2018,15
New Jersey,9/29/2018,902
New Mexico,9/29/2018,178
New York,9/29/2018,26
North Carolina,9/29/2018,49
North Dakota,9/29/2018,6
Ohio,9/29/2018,80
Oklahoma,9/29/2018,65
Oregon,9/29/2018,238
Pennsylvania,9/29/2018,568
Rhode Island,9/29/2018,15
South Carolina,9/29/2018,46
South Dakota,9/29/2018,79
Tennessee,9/29/2018,25
Texas,9/29/2018,561
Utah,9/29/2018,225
Vermont,9/29/2018,19
Virginia,9/29/2018,1194
Washington,9/29/2018,11
West Virginia,9/29/2018,44
Wisconsin,9/29/2018,37
Wyoming,9/29/2018,55
Alabama,10/6/2018,640
Alaska,10/6/2018,79
Arizona,10/6/2018,307
Arkansas,10/6/2018,54
California,10/6/2018,698
Colorado,10/6/2018,843
Connecticut,10/6/2018,73
Delaware,10/6/2018,0
Georgia,10/6/2018,1850
Hawaii,10/6/2018,34
Idaho,10/6/2018,8
Illinois,10/6/2018,394
Indiana,10/6/2018,65
Iowa,10/6/2018,32
Kansas,10/6/2018,119
Kentucky,10/6/2018,114
Louisiana,10/6/2018,1256
Maine,10/6/2018,135
Maryland,10/6/2018,58
Massachusetts,10/6/2018,505
Michigan,10/6/2018,281
Minnesota,10/6/2018,97
Mississippi,10/6/2018,339
Missouri,10/6/2018,25
Montana,10/6/2018,49
Nebraska,10/6/2018,89
Nevada,10/6/2018,65
New Hampshire,10/6/2018,19
New Jersey,10/6/2018,885
New Mexico,10/6/2018,171
New York,10/6/2018,623
North Carolina,10/6/2018,974
North Dakota,10/6/2018,32
Ohio,10/6/2018,127
Oklahoma,10/6/2018,113
Oregon,10/6/2018,260
Pennsylvania,10/6/2018,536
Rhode Island,10/6/2018,15
South Carolina,10/6/2018,217
South Dakota,10/6/2018,147
Tennessee,10/6/2018,39
Texas,10/6/2018,730
Utah,10/6/2018,258
Vermont,10/6/2018,53
Virginia,10/6/2018,1373
Washington,10/6/2018,24
West Virginia,10/6/2018,107
Wisconsin,10/6/2018,268
Wyoming,10/6/2018,63
Alabama,10/13/2018,635
Alaska,10/13/2018,109
Arizona,10/13/2018,288
Arkansas,10/13/2018,52
California,10/13/2018,598
Colorado,10/13/2018,978
Connecticut,10/13/2018,70
Delaware,10/13/2018,2
Georgia,10/13/2018,1830
Hawaii,10/13/2018,29
Idaho,10/13/2018,5
Illinois,10/13/2018,493
Indiana,10/13/2018,58
Iowa,10/13/2018,35
Kansas,10/13/2018,124
Kentucky,10/13/2018,142
Louisiana,10/13/2018,1312
Maine,10/13/2018,150
Maryland,10/13/2018,56
Massachusetts,10/13/2018,583
Michigan,10/13/2018,259
Minnesota,10/13/2018,133
Mississippi,10/13/2018,346
Missouri,10/13/2018,23
Montana,10/13/2018,43
Nebraska,10/13/2018,196
Nevada,10/13/2018,107
New Hampshire,10/13/2018,6
New Jersey,10/13/2018,897
New Mexico,10/13/2018,173
New York,10/13/2018,661
North Carolina,10/13/2018,1139
North Dakota,10/13/2018,49
Ohio,10/13/2018,117
Oklahoma,10/13/2018,121
Oregon,10/13/2018,280
Pennsylvania,10/13/2018,639
Rhode Island,10/13/2018,18
South Carolina,10/13/2018,224
South Dakota,10/13/2018,126
Tennessee,10/13/2018,53
Texas,10/13/2018,589
Utah,10/13/2018,149
Vermont,10/13/2018,60
Virginia,10/13/2018,1490
Washington,10/13/2018,37
West Virginia,10/13/2018,108
Wisconsin,10/13/2018,319
Wyoming,10/13/2018,64
Alabama,10/20/2018,658
Alaska,10/20/2018,100
Arizona,10/20/2018,332
Arkansas,10/20/2018,87
California,10/20/2018,691
Colorado,10/20/2018,1042
Connecticut,10/20/2018,66
Delaware,10/20/2018,3
Georgia,10/20/2018,2067
Hawaii,10/20/2018,35
Idaho,10/20/2018,2
Illinois,10/20/2018,518
Indiana,10/20/2018,47
Iowa,10/20/2018,33
Kansas,10/20/2018,136
Kentucky,10/20/2018,181
Louisiana,10/20/2018,1408
Maine,10/20/2018,137
Maryland,10/20/2018,86
Massachusetts,10/20/2018,605
Michigan,10/20/2018,293
Minnesota,10/20/2018,107
Mississippi,10/20/2018,384
Missouri,10/20/2018,33
Montana,10/20/2018,55
Nebraska,10/20/2018,47
Nevada,10/20/2018,89
New Hampshire,10/20/2018,21
New Jersey,10/20/2018,889
New Mexico,10/20/2018,204
New York,10/20/2018,706
North Carolina,10/20/2018,1261
North Dakota,10/20/2018,29
Ohio,10/20/2018,115
Oklahoma,10/20/2018,132
Oregon,10/20/2018,298
Pennsylvania,10/20/2018,610
Rhode Island,10/20/2018,22
South Carolina,10/20/2018,234
South Dakota,10/20/2018,142
Tennessee,10/20/2018,24
Texas,10/20/2018,607
Utah,10/20/2018,309
Vermont,10/20/2018,59
Virginia,10/20/2018,1715
Washington,10/20/2018,21
West Virginia,10/20/2018,130
Wisconsin,10/20/2018,308
Wyoming,10/20/2018,42
Alabama,10/27/2018,857
Alaska,10/27/2018,38
Arizona,10/27/2018,257
Arkansas,10/27/2018,85
California,10/27/2018,753
Colorado,10/27/2018,944
Connecticut,10/27/2018,81
Delaware,10/27/2018,4
Georgia,10/27/2018,2338
Hawaii,10/27/2018,38
Idaho,10/27/2018,7
Illinois,10/27/2018,579
Indiana,10/27/2018,65
